queueVersion,queueChecksum,word,length,strata,reviewerId,reviewedAt,source,class,confidence,reason,note
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","ACRE","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","ACT","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","AGE","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","ALICE","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:properNoun;review-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","ANGER","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","ANT","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","ARM","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","ART","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","ARTS","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","AT","2","length:short;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","BAD","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","BADWORD","7","length:long;not-3-letter;morphology:none;dialect:en;flag:offensive;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","BARE","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","BEAR","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","BED","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","BIRTH","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","BIT","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","BREAD","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","BRIGHT","6","length:long;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","CAFÉ","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:invalidToken;review-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","CAN","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
